"=""Burden Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Year""","=""Measure""","=""Metric""","=""Sex""","=""REI Name""","=""Cause Name""","=""Age Group Name""","=""Burden Mean""","=""Burden Mean Rounded""","=""Burden Upper""","=""Burden Lower""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Measure Name""","=""Metric Name"""
1301963,"=""country""","=""Austria""","=""AUT""","=""country""","=""Austria""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""10.3""","=""10.3""","=""42.3""","=""-9.37""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1301996,"=""country""","=""Austria""","=""AUT""","=""country""","=""Austria""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""7.7""","=""7.7""","=""34.8""","=""-7.29""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1298949,"=""country""","=""Azerbaijan""","=""AZE""","=""country""","=""Azerbaijan""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.78""","=""4.78""","=""19.6""","=""-4.02""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1298973,"=""country""","=""Azerbaijan""","=""AZE""","=""country""","=""Azerbaijan""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.57""","=""3.57""","=""17.2""","=""-2.9""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1298997,"=""country""","=""Azerbaijan""","=""AZE""","=""country""","=""Azerbaijan""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.83""","=""3.83""","=""17.1""","=""-3.18""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1299021,"=""country""","=""Azerbaijan""","=""AZE""","=""country""","=""Azerbaijan""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.42""","=""4.42""","=""17.9""","=""-3.86""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307349,"=""country""","=""Bahamas""","=""BHS""","=""country""","=""Bahamas""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.93""","=""2.93""","=""15.1""","=""-2.44""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307373,"=""country""","=""Bahamas""","=""BHS""","=""country""","=""Bahamas""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.01""","=""3.01""","=""16.5""","=""-2.62""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307397,"=""country""","=""Bahamas""","=""BHS""","=""country""","=""Bahamas""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""14.1""","=""14.1""","=""79.4""","=""-12.8""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307421,"=""country""","=""Bahamas""","=""BHS""","=""country""","=""Bahamas""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""12.4""","=""12.4""","=""63.6""","=""-12""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
